commodity,crop_year,seeded_area_kha,harvested_area_kha,yield_t_ha,production_kt,carryout_kt,total_use_kt,precip_pct_normal,gdd_pct_normal,status
barley,2020,1180,1105,3.48,3845,510,3560,103,99,synthetic
barley,2021,1160,1080,2.61,2819,305,3425,69,108,synthetic
barley,2022,1215,1150,3.72,4278,495,3710,111,101,synthetic
barley,2023,1195,1125,3.21,3611,430,3585,91,104,synthetic
barley,2024,1230,1168,3.55,4146,520,3680,106,100,synthetic
barley,2025,1250,1190,3.64,4332,610,3740,109,102,synthetic
canola,2020,2750,2700,2.20,5940,820,5650,101,100,synthetic
canola,2021,2800,2720,1.45,3944,410,5480,68,109,synthetic
canola,2022,2860,2790,2.15,5999,730,5740,110,101,synthetic
canola,2023,2900,2825,1.98,5594,690,5660,90,105,synthetic
canola,2024,2880,2810,2.08,5845,760,5710,105,101,synthetic
canola,2025,2940,2870,2.12,6084,800,5790,108,102,synthetic
spring-wheat,2020,2550,2470,3.05,7534,980,7210,102,99,synthetic
spring-wheat,2021,2600,2480,2.05,5084,520,6980,67,110,synthetic
spring-wheat,2022,2640,2560,3.18,8141,890,7420,112,101,synthetic
spring-wheat,2023,2590,2510,2.82,7078,810,7160,89,105,synthetic
spring-wheat,2024,2630,2550,3.01,7676,870,7290,104,101,synthetic
spring-wheat,2025,2660,2580,3.08,7946,920,7350,107,102,synthetic
durum-wheat,2020,720,700,2.65,1855,320,1730,98,101,synthetic
durum-wheat,2021,750,710,1.70,1207,180,1650,61,112,synthetic
durum-wheat,2022,780,755,2.72,2054,290,1810,106,103,synthetic
durum-wheat,2023,760,735,2.31,1698,250,1740,82,107,synthetic
durum-wheat,2024,790,765,2.58,1974,300,1790,101,102,synthetic
durum-wheat,2025,810,785,2.63,2065,330,1830,105,103,synthetic
dry-peas,2020,640,625,2.42,1513,260,1390,104,99,synthetic
dry-peas,2021,670,640,1.55,992,150,1320,65,110,synthetic
dry-peas,2022,690,670,2.51,1682,240,1450,113,100,synthetic
dry-peas,2023,660,642,2.18,1400,220,1375,88,106,synthetic
dry-peas,2024,700,680,2.38,1618,270,1420,106,101,synthetic
dry-peas,2025,715,695,2.45,1703,310,1460,110,102,synthetic
